Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/probe/agentic/fortified,654,0,2,2.2076322178752235,1.7699571326375008,15.196312218904495,230.2018348623853,7.34681545850372,0.0,2,2,2,2,3,3,4,5,15,15,15
POST,/probe/rag/fortified,1094,0,2.0610690116882324,2.602670648198241,2.0610690116882324,16.201057471334934,456.53564899451555,12.28962708196188,0.0,2,3,3,3,3,4,5,6,13,16,16
,Aggregated,1748,0,2,2.454870228615144,1.7699571326375008,16.201057471334934,371.8546910755149,19.636442540465602,0.0,2,2,3,3,3,4,5,6,15,16,16
